ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T16:14:07.432867Z,mmtc,uesimtun2,38178,610,54420809,40166,,1,1
2025-11-25T16:14:07.682995Z,embb,uesimtun0,14068,180,18408,233,,1,1
2025-11-25T16:14:07.682995Z,urllc,uesimtun1,25146,410,141607793,1539320,,1,1
2025-11-25T16:14:07.682995Z,mmtc,uesimtun2,38459,615,55582431,41014,,1,1
2025-11-25T16:14:08.000950Z,embb,uesimtun0,14236,182,18576,235,,1,1
2025-11-25T16:14:08.000950Z,urllc,uesimtun1,25146,410,142480957,1548811,,1,1
2025-11-25T16:14:08.000950Z,mmtc,uesimtun2,38727,619,56375566,41598,,1,1
2025-11-25T16:14:08.251380Z,embb,uesimtun0,14488,185,18828,238,,1,1
2025-11-25T16:14:08.251380Z,urllc,uesimtun1,25515,417,143511823,1560018,,1,1
2025-11-25T16:14:08.251380Z,mmtc,uesimtun2,39417,632,57552766,42464,,1,1
2025-11-25T16:14:08.505969Z,embb,uesimtun0,14572,186,18912,239,,1,1
2025-11-25T16:14:08.505969Z,urllc,uesimtun1,25515,417,144032995,1565683,,1,1
2025-11-25T16:14:08.505969Z,mmtc,uesimtun2,39839,640,57939973,42754,,1,1
2025-11-25T16:14:08.756324Z,embb,uesimtun0,14656,187,18996,240,,1,1
2025-11-25T16:14:08.756324Z,urllc,uesimtun1,25515,417,145330555,1579787,,1,1
2025-11-25T16:14:08.756324Z,mmtc,uesimtun2,39975,642,57940368,42756,,1,1
2025-11-25T16:14:09.006130Z,embb,uesimtun0,14656,187,19080,241,,1,1
2025-11-25T16:14:09.006130Z,urllc,uesimtun1,25599,418,145821367,1585122,,1,1
2025-11-25T16:14:09.006130Z,mmtc,uesimtun2,40335,647,57940931,42760,,1,1
2025-11-25T16:14:09.256042Z,embb,uesimtun0,14908,190,19332,244,,1,1
2025-11-25T16:14:09.256042Z,urllc,uesimtun1,26012,425,147123357,1599276,,1,1
2025-11-25T16:14:09.256042Z,mmtc,uesimtun2,40957,652,57941444,42768,,1,1
2025-11-25T16:14:09.509632Z,embb,uesimtun0,14992,191,19416,245,,1,1
2025-11-25T16:14:09.509632Z,urllc,uesimtun1,26012,425,147616745,1604639,,1,1
2025-11-25T16:14:09.509632Z,mmtc,uesimtun2,41041,653,57941528,42769,,1,1
2025-11-25T16:14:09.759985Z,embb,uesimtun0,15076,192,19500,246,,1,1
2025-11-25T16:14:09.759985Z,urllc,uesimtun1,26180,427,148933157,1618948,,1,1
2025-11-25T16:14:09.759985Z,mmtc,uesimtun2,41125,654,57941612,42770,,1,1
2025-11-25T16:14:10.010039Z,embb,uesimtun0,15076,192,19584,247,,1,1
2025-11-25T16:14:10.010039Z,urllc,uesimtun1,26264,428,149412009,1624153,,1,1
2025-11-25T16:14:10.010039Z,mmtc,uesimtun2,41986,670,58125709,42919,,1,1
2025-11-25T16:14:10.259848Z,embb,uesimtun0,15328,195,19836,250,,1,1
2025-11-25T16:14:10.259848Z,urllc,uesimtun1,26432,430,150730069,1638480,,1,1
2025-11-25T16:14:10.259848Z,mmtc,uesimtun2,41986,670,58606101,43270,,1,1
2025-11-25T16:14:10.585876Z,embb,uesimtun0,15328,195,20004,252,,1,1
2025-11-25T16:14:10.585876Z,urllc,uesimtun1,26432,430,151488877,1646728,,1,1
2025-11-25T16:14:10.585876Z,mmtc,uesimtun2,42130,672,58728850,43363,,1,1
2025-11-25T16:14:10.836157Z,embb,uesimtun0,15412,196,20088,253,,1,1
2025-11-25T16:14:10.836157Z,urllc,uesimtun1,26801,437,152384059,1656460,,1,1
2025-11-25T16:14:10.836157Z,mmtc,uesimtun2,42439,678,59055151,43603,,1,1
2025-11-25T16:14:11.086065Z,embb,uesimtun0,15496,197,20172,254,,1,1
2025-11-25T16:14:11.086065Z,urllc,uesimtun1,26885,438,153278927,1666187,,1,1
2025-11-25T16:14:11.086065Z,mmtc,uesimtun2,42704,683,59536110,43963,,1,1
2025-11-25T16:14:11.336121Z,embb,uesimtun0,15748,200,20424,257,,1,1
2025-11-25T16:14:11.336121Z,urllc,uesimtun1,27137,441,154600659,1680554,,1,1
2025-11-25T16:14:11.336121Z,mmtc,uesimtun2,43262,693,60017086,44324,,1,1
2025-11-25T16:14:11.585951Z,embb,uesimtun0,15748,200,20592,259,,1,1
2025-11-25T16:14:11.585951Z,urllc,uesimtun1,27137,441,155083743,1685805,,1,1
2025-11-25T16:14:11.585951Z,mmtc,uesimtun2,43643,700,60043620,44349,,1,1
2025-11-25T16:14:11.836440Z,embb,uesimtun0,15832,201,20676,260,,1,1
2025-11-25T16:14:11.836440Z,urllc,uesimtun1,27221,442,155981011,1695558,,1,1
2025-11-25T16:14:11.836440Z,mmtc,uesimtun2,43767,702,60369966,44589,,1,1
2025-11-25T16:14:12.086219Z,embb,uesimtun0,15916,202,20760,261,,1,1
2025-11-25T16:14:12.086219Z,urllc,uesimtun1,27562,448,156885156,1705387,,1,1
2025-11-25T16:14:12.086219Z,mmtc,uesimtun2,44132,708,60697931,44833,,1,1
