ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:27.250817Z,embb,uesimtun0,146406,1774,149512,1847,1.276,0,1
2025-11-25T17:15:27.250817Z,urllc,uesimtun1,145154,1761,147140,1794,0.957,0,1
2025-11-25T17:15:27.250817Z,mmtc,uesimtun2,145999,1770,148832,1835,1.063,0,1
2025-11-25T17:15:27.500322Z,embb,uesimtun0,146571,1777,149756,1852,70.608,0,1
2025-11-25T17:15:27.500322Z,urllc,uesimtun1,145294,1764,147304,1797,1.140,0,1
2025-11-25T17:15:27.500322Z,mmtc,uesimtun2,146164,1773,149076,1840,0.990,0,1
2025-11-25T17:15:27.750858Z,embb,uesimtun0,146736,1780,150000,1857,1.212,0,1
2025-11-25T17:15:27.750858Z,urllc,uesimtun1,145434,1767,147468,1800,0.908,0,1
2025-11-25T17:15:27.750858Z,mmtc,uesimtun2,146329,1776,149320,1845,0.834,0,1
2025-11-25T17:15:28.000754Z,embb,uesimtun0,146901,1783,150244,1862,1.357,0,1
2025-11-25T17:15:28.000754Z,urllc,uesimtun1,145574,1770,147632,1803,1.018,0,1
2025-11-25T17:15:28.000754Z,mmtc,uesimtun2,146494,1779,149564,1850,1.033,0,1
2025-11-25T17:15:28.250230Z,embb,uesimtun0,147066,1786,150488,1867,1.276,0,1
2025-11-25T17:15:28.250230Z,urllc,uesimtun1,145714,1773,147796,1806,0.977,0,1
2025-11-25T17:15:28.250230Z,mmtc,uesimtun2,146659,1782,149808,1855,0.847,0,1
2025-11-25T17:15:28.499934Z,embb,uesimtun0,147231,1789,150732,1872,49.793,0,1
2025-11-25T17:15:28.499934Z,urllc,uesimtun1,145854,1776,147960,1809,,1,1
2025-11-25T17:15:28.499934Z,mmtc,uesimtun2,146824,1785,150052,1860,1.024,0,1
2025-11-25T17:15:28.750840Z,embb,uesimtun0,147396,1792,150976,1877,1.243,0,1
2025-11-25T17:15:28.750840Z,urllc,uesimtun1,145894,1777,148020,1810,1.014,0,1
2025-11-25T17:15:28.750840Z,mmtc,uesimtun2,146989,1788,150296,1865,0.869,0,1
2025-11-25T17:15:29.000151Z,embb,uesimtun0,147561,1795,151220,1882,1.450,0,1
2025-11-25T17:15:29.000151Z,urllc,uesimtun1,146034,1780,148184,1813,0.968,0,1
2025-11-25T17:15:29.000151Z,mmtc,uesimtun2,147154,1791,150540,1870,5.709,0,1
2025-11-25T17:15:29.250193Z,embb,uesimtun0,147726,1798,151464,1887,4.784,0,1
2025-11-25T17:15:29.250193Z,urllc,uesimtun1,146174,1783,148348,1816,1.031,0,1
2025-11-25T17:15:29.250193Z,mmtc,uesimtun2,147319,1794,150784,1875,0.973,0,1
2025-11-25T17:15:29.545871Z,embb,uesimtun0,147891,1801,151708,1892,1.319,0,1
2025-11-25T17:15:29.545871Z,urllc,uesimtun1,146314,1786,148512,1819,1.029,0,1
2025-11-25T17:15:29.545871Z,mmtc,uesimtun2,147484,1797,151028,1880,0.936,0,1
2025-11-25T17:15:29.750948Z,embb,uesimtun0,148056,1804,151952,1897,1.229,0,1
2025-11-25T17:15:29.750948Z,urllc,uesimtun1,146454,1789,148676,1822,0.934,0,1
2025-11-25T17:15:29.750948Z,mmtc,uesimtun2,147649,1800,151272,1885,0.912,0,1
2025-11-25T17:15:30.000195Z,embb,uesimtun0,148221,1807,152196,1902,1.432,0,1
2025-11-25T17:15:30.000195Z,urllc,uesimtun1,146594,1792,148840,1825,0.989,0,1
2025-11-25T17:15:30.000195Z,mmtc,uesimtun2,147814,1803,151516,1890,1.054,0,1
2025-11-25T17:15:30.250598Z,embb,uesimtun0,148386,1810,152440,1907,1.262,0,1
2025-11-25T17:15:30.250598Z,urllc,uesimtun1,146734,1795,149004,1828,1.072,0,1
2025-11-25T17:15:30.250598Z,mmtc,uesimtun2,147979,1806,151760,1895,1.067,0,1
2025-11-25T17:15:30.500758Z,embb,uesimtun0,148551,1813,152684,1912,108.427,0,1
2025-11-25T17:15:30.500758Z,urllc,uesimtun1,146899,1798,149248,1833,1.198,0,1
2025-11-25T17:15:30.500758Z,mmtc,uesimtun2,148144,1809,152004,1900,1.005,0,1
2025-11-25T17:15:30.750571Z,embb,uesimtun0,148716,1816,152928,1917,1.202,0,1
2025-11-25T17:15:30.750571Z,urllc,uesimtun1,147039,1801,149412,1836,0.922,0,1
