ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-10T20:59:44.144215Z,50mbit,10mbit,800kbit,none,,0,0,0,18.569517135620117,0.17952919006347656,0.16875267028808594
2025-12-10T20:59:44.643379Z,50mbit,10mbit,800kbit,none,,0,0,0,18.558406829833984,0.17256736755371094,0.16937255859375
2025-12-10T20:59:45.143996Z,50mbit,10mbit,800kbit,none,,0,0,0,18.557214736938477,0.17256736755371094,0.17104148864746094
2025-12-10T20:59:45.643401Z,50mbit,10mbit,800kbit,none,,0,0,0,18.56060028076172,0.17518997192382812,0.17027854919433594
2025-12-10T20:59:46.143033Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27022361755371094,0.15730857849121094,0.17027854919433594
2025-12-10T20:59:46.643551Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2787590026855469,0.15234947204589844,0.1536846160888672
2025-12-10T20:59:47.143291Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2837181091308594,0.15234947204589844,0.16531944274902344
2025-12-10T20:59:47.643620Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2876758575439453,0.15234947204589844,0.1693248748779297
2025-12-10T20:59:48.143798Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2830982208251953,0.1614093780517578,0.17309188842773438
2025-12-10T20:59:48.643613Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28209686279296875,0.1678943634033203,0.16303062438964844
2025-12-10T20:59:49.144324Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2769947052001953,0.1644134521484375,0.1700878143310547
2025-12-10T20:59:49.642973Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2808094024658203,0.1644134521484375,0.17194747924804688
2025-12-10T20:59:50.143945Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2827167510986328,0.16069412231445312,0.16241073608398438
2025-12-10T20:59:50.643469Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28443336486816406,0.16069412231445312,0.1544475555419922
2025-12-10T20:59:51.144009Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2770423889160156,0.1591205596923828,0.1552104949951172
2025-12-10T20:59:51.643514Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2894878387451172,0.1591205596923828,0.1518726348876953
2025-12-10T20:59:52.143613Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2827644348144531,0.15249252319335938,0.13833045959472656
2025-12-10T20:59:52.643676Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28433799743652344,0.14662742614746094,0.14052391052246094
2025-12-10T20:59:53.143375Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2822399139404297,0.14867782592773438,0.13785362243652344
2025-12-10T20:59:53.643530Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28629302978515625,0.14200210571289062,0.1430988311767578
