ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-12T01:36:03.338027Z,50mbit,10mbit,800kbit,none,,0,0,0,0.36525726318359375,0.1674652099609375,0.1892566680908203
2025-12-12T01:36:03.838570Z,50mbit,10mbit,800kbit,none,,0,0,0,0.35452842712402344,0.1674652099609375,0.1667499542236328
2025-12-12T01:36:04.338838Z,50mbit,10mbit,800kbit,none,,0,0,0,0.37636756896972656,0.1674652099609375,0.16603469848632812
2025-12-12T01:36:04.838667Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3104209899902344,0.16641616821289062,0.15964508056640625
2025-12-12T01:36:05.338976Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3350257873535156,0.15897750854492188,0.1652240753173828
2025-12-12T01:36:05.838369Z,50mbit,10mbit,800kbit,none,,0,0,0,0.32367706298828125,0.16570091247558594,0.1652240753173828
2025-12-12T01:36:06.338325Z,50mbit,10mbit,800kbit,none,,0,0,0,0.38933753967285156,0.17981529235839844,0.17881393432617188
2025-12-12T01:36:06.838568Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3658294677734375,0.17981529235839844,0.16999244689941406
2025-12-12T01:36:07.339098Z,50mbit,10mbit,800kbit,none,,0,0,0,0.38051605224609375,0.17981529235839844,0.16679763793945312
2025-12-12T01:36:07.838195Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3752708435058594,0.17843246459960938,0.19054412841796875
2025-12-12T01:36:08.338168Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5112648010253906,0.19555091857910156,0.188446044921875
2025-12-12T01:36:08.838982Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4414558410644531,0.19555091857910156,0.16999244689941406
2025-12-12T01:36:09.339274Z,50mbit,10mbit,800kbit,none,,0,0,0,0.434112548828125,0.21042823791503906,0.1590251922607422
2025-12-12T01:36:09.839037Z,50mbit,10mbit,800kbit,none,,0,0,0,0.41441917419433594,0.21042823791503906,0.1647472381591797
2025-12-12T01:36:10.338057Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4809379577636719,0.2228260040283203,0.1461029052734375
2025-12-12T01:36:10.839019Z,50mbit,10mbit,800kbit,none,,0,0,0,0.34890174865722656,0.2040863037109375,0.14133453369140625
2025-12-12T01:36:11.338576Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4230976104736328,0.19750595092773438,0.14619827270507812
2025-12-12T01:36:11.839014Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4202842712402344,0.18286705017089844,0.15888214111328125
2025-12-12T01:36:12.338822Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5390644073486328,0.18286705017089844,0.16384124755859375
2025-12-12T01:36:12.838057Z,50mbit,10mbit,800kbit,none,,0,0,0,0.45452117919921875,0.17213821411132812,0.16613006591796875
2025-12-12T01:36:13.338418Z,50mbit,10mbit,800kbit,none,,0,0,0,0.48165321350097656,0.15535354614257812,0.16574859619140625
2025-12-12T01:36:13.838726Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4917621612548828,0.14905929565429688,0.17299652099609375
2025-12-12T01:36:14.338598Z,50mbit,10mbit,800kbit,none,,0,0,0,0.565338134765625,0.1594066619873047,0.16317367553710938
2025-12-12T01:36:14.838290Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5437850952148438,0.1700878143310547,0.17633438110351562
2025-12-12T01:36:15.338452Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5785942077636719,0.17261505126953125,0.18291473388671875
2025-12-12T01:36:15.838929Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5751609802246094,0.1934528350830078,0.18720626831054688
2025-12-12T01:36:16.338766Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5434989929199219,0.1914501190185547,0.17452239990234375
2025-12-12T01:36:16.838650Z,50mbit,10mbit,800kbit,none,,0,0,0,0.47593116760253906,0.1895427703857422,0.18472671508789062
2025-12-12T01:36:17.338570Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4570484161376953,0.1861095428466797,0.16999244689941406
2025-12-12T01:36:17.838161Z,50mbit,10mbit,800kbit,none,,0,0,0,0.41866302490234375,0.18568038940429688,0.16121864318847656
2025-12-12T01:36:18.339056Z,50mbit,10mbit,800kbit,none,,0,0,0,0.46668052673339844,0.1613616943359375,0.15821456909179688
2025-12-12T01:36:18.839003Z,50mbit,10mbit,800kbit,none,,0,0,0,0.41637420654296875,0.1613616943359375,0.16069412231445312
2025-12-12T01:36:19.338738Z,50mbit,10mbit,800kbit,none,,0,0,0,0.484466552734375,0.1693248748779297,0.1613616943359375
2025-12-12T01:36:19.838279Z,50mbit,10mbit,800kbit,none,,0,0,0,0.41604042053222656,0.1761913299560547,0.15587806701660156
2025-12-12T01:36:20.338728Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4802703857421875,0.1689910888671875,0.15587806701660156
2025-12-12T01:36:20.838600Z,50mbit,10mbit,800kbit,none,,0,0,0,0.46172142028808594,0.16393661499023438,0.16303062438964844
2025-12-12T01:36:21.338561Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5265235900878906,0.18854141235351562,0.17757415771484375
2025-12-12T01:36:21.838692Z,50mbit,10mbit,800kbit,none,,0,0,0,0.46668052673339844,0.18854141235351562,0.19073486328125
2025-12-12T01:36:22.338829Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5296230316162109,0.1998424530029297,0.19278526306152344
2025-12-12T01:36:22.838707Z,50mbit,10mbit,800kbit,none,,0,0,0,0.49185752868652344,0.18639564514160156,0.17914772033691406
2025-12-12T01:36:23.338732Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5048751831054688,0.18873214721679688,0.17766952514648438
2025-12-12T01:36:23.838155Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4458427429199219,0.19292831420898438,0.15845298767089844
2025-12-12T01:36:24.338188Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5167007446289062,0.17223358154296875,0.1651287078857422
2025-12-12T01:36:24.839047Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5069732666015625,0.17223358154296875,0.15897750854492188
2025-12-12T01:36:25.338906Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5201339721679688,0.1601696014404297,0.17499923706054688
2025-12-12T01:36:25.838157Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4589557647705078,0.1601696014404297,0.1770496368408203
2025-12-12T01:36:26.338589Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5348682403564453,0.1647472381591797,0.19516944885253906
2025-12-12T01:36:26.838634Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5528450012207031,0.16875267028808594,0.17724037170410156
2025-12-12T01:36:27.339079Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5235195159912109,0.1639842987060547,0.1769542694091797
2025-12-12T01:36:27.838707Z,50mbit,10mbit,800kbit,none,,0,0,0,0.47888755798339844,0.164031982421875,0.17142295837402344
2025-12-12T01:36:28.338131Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5534172058105469,0.16727447509765625,0.1698017120361328
2025-12-12T01:36:28.838108Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4700660705566406,0.16727447509765625,0.15516281127929688
2025-12-12T01:36:29.338042Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4378318786621094,0.171661376953125,0.14934539794921875
2025-12-12T01:36:29.839131Z,50mbit,10mbit,800kbit,none,,0,0,0,0.40411949157714844,0.16465187072753906,0.14829635620117188
2025-12-12T01:36:30.339028Z,50mbit,10mbit,800kbit,none,,0,0,0,0.40459632873535156,0.1602649688720703,0.14863014221191406
2025-12-12T01:36:30.838640Z,50mbit,10mbit,800kbit,none,,0,0,0,0.41255950927734375,0.15778541564941406,0.16489028930664062
2025-12-12T01:36:31.338577Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4921436309814453,0.1605987548828125,0.16489028930664062
2025-12-12T01:36:31.839004Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4768848419189453,0.1605987548828125,0.16617774963378906
2025-12-12T01:36:32.338581Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5594730377197266,0.1605987548828125,0.17027854919433594
2025-12-12T01:36:32.838351Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5627632141113281,0.1605987548828125,0.17828941345214844
2025-12-12T01:36:33.338758Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4985332489013672,0.17366409301757812,0.17828941345214844
2025-12-12T01:36:33.838508Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4778861999511719,0.17366409301757812,0.18095970153808594
