ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-11T19:21:26.797834Z,50mbit,10mbit,800kbit,none,,0,0,0,33.09946060180664,0.15087127685546875,0.17066001892089844
2025-12-11T19:21:27.236494Z,50mbit,10mbit,800kbit,none,,0,0,0,15.267801284790039,0.1499176025390625,0.16732215881347656
2025-12-11T19:21:27.736477Z,50mbit,10mbit,800kbit,none,,0,0,0,23.117923736572266,0.15611648559570312,0.16274452209472656
2025-12-11T19:21:28.235534Z,50mbit,10mbit,800kbit,none,,0,0,0,8.217191696166992,0.16040802001953125,0.1545429229736328
2025-12-11T19:21:28.762174Z,50mbit,10mbit,800kbit,none,,0,0,0,8.196496963500977,0.1693248748779297,0.1471996307373047
2025-12-11T19:21:29.236016Z,50mbit,10mbit,800kbit,none,,0,0,0,8.181428909301758,0.17714500427246094,0.1552104949951172
2025-12-11T19:21:29.882691Z,50mbit,10mbit,800kbit,none,,0,0,0,8.176040649414062,0.17714500427246094,0.16274452209472656
2025-12-11T19:21:30.236172Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3280162811279297,0.17714500427246094,0.16317367553710938
2025-12-11T19:21:30.848683Z,50mbit,10mbit,800kbit,none,,0,0,0,0.32286643981933594,0.17647743225097656,0.15616416931152344
2025-12-11T19:21:31.235403Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3624916076660156,0.16994476318359375,0.16002655029296875
2025-12-11T19:21:31.808465Z,50mbit,10mbit,800kbit,none,,0,0,0,0.8844375610351562,0.16994476318359375,0.16074180603027344
2025-12-11T19:21:32.235586Z,50mbit,10mbit,800kbit,none,,0,0,0,0.8851051330566406,0.1677989959716797,0.14972686767578125
2025-12-11T19:21:32.736380Z,50mbit,10mbit,800kbit,none,,0,0,0,70.92523574829102,0.1677989959716797,0.1624584197998047
2025-12-11T19:21:33.236082Z,50mbit,10mbit,800kbit,none,,0,0,0,70.92375755310059,0.1526355743408203,0.1624584197998047
2025-12-11T19:21:34.047949Z,50mbit,10mbit,800kbit,none,,0,0,0,70.89195251464844,0.1526355743408203,0.17156600952148438
2025-12-11T19:21:34.236224Z,50mbit,10mbit,800kbit,none,,0,0,0,70.36476135253906,0.1526355743408203,0.1755237579345703
2025-12-11T19:21:34.735409Z,50mbit,10mbit,800kbit,none,,0,0,0,123.45013618469238,0.15802383422851562,0.18410682678222656
