ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:36.292010Z,mmtc,uesimtun1,10.47.0.2,20990,485,2091916,34900,130.783,0,1
2025-12-09T08:44:36.541914Z,embb,uesimtun0,10.45.0.2,419923,8647,4292633761,3126787,1.329,0,1
2025-12-09T08:44:36.541914Z,urllc,uesimtun2,10.46.0.2,15266,338,22722,415,2.750,0,1
2025-12-09T08:44:36.541914Z,mmtc,uesimtun1,10.47.0.2,21050,486,2092080,34903,3.057,0,1
2025-12-09T08:44:36.791779Z,embb,uesimtun0,10.45.0.2,420710,8663,4295814605,3129114,1.268,0,1
2025-12-09T08:44:36.791779Z,urllc,uesimtun2,10.46.0.2,15471,342,23026,421,1.576,0,1
2025-12-09T08:44:36.791779Z,mmtc,uesimtun1,10.47.0.2,21372,492,2117644,35331,147.670,0,1
2025-12-09T08:44:37.041477Z,embb,uesimtun0,10.45.0.2,420927,8667,4299008585,3131441,7.008,0,1
2025-12-09T08:44:37.041477Z,urllc,uesimtun2,10.46.0.2,15688,346,23310,427,2.649,0,1
2025-12-09T08:44:37.041477Z,mmtc,uesimtun1,10.47.0.2,21589,496,2117928,35337,3.281,0,1
2025-12-09T08:44:37.292898Z,embb,uesimtun0,10.45.0.2,422336,8696,4302218976,3133800,1.325,0,1
2025-12-09T08:44:37.292898Z,urllc,uesimtun2,10.46.0.2,15853,349,23554,432,1.773,0,1
2025-12-09T08:44:37.292898Z,mmtc,uesimtun1,10.47.0.2,21906,502,2135112,35625,,1,1
2025-12-09T08:44:37.541968Z,embb,uesimtun0,10.45.0.2,423123,8712,4305397056,3136125,1.566,0,1
2025-12-09T08:44:37.541968Z,urllc,uesimtun2,10.46.0.2,16018,352,23798,437,1.082,0,1
2025-12-09T08:44:37.541968Z,mmtc,uesimtun1,10.47.0.2,21966,503,2135272,35628,3.458,0,1
2025-12-09T08:44:37.791746Z,embb,uesimtun0,10.45.0.2,423922,8728,4308579263,3138453,1.210,0,1
2025-12-09T08:44:37.791746Z,urllc,uesimtun2,10.46.0.2,16263,357,24162,444,1.387,0,1
2025-12-09T08:44:37.791746Z,mmtc,uesimtun1,10.47.0.2,22223,508,2160816,36055,119.997,0,1
2025-12-09T08:44:38.042032Z,embb,uesimtun0,10.45.0.2,424087,8731,4311778707,3140783,1.293,0,1
2025-12-09T08:44:38.042032Z,urllc,uesimtun2,10.46.0.2,16480,361,24446,450,1.019,0,1
2025-12-09T08:44:38.042032Z,mmtc,uesimtun1,10.47.0.2,22283,509,2160980,36058,6.648,0,1
2025-12-09T08:44:38.291729Z,embb,uesimtun0,10.45.0.2,425131,8752,4314961168,3143115,1.321,0,1
